name;country;points;position;move;page_no
Delfina Brea Senesi;ARG;18060;1;0;1
Gemma Triay Pons;ESP;18060;1;0;1
Paula Josemaria Martin;ESP;14720;3;0;1
Ariana Sanchez Fallada;ESP;14720;3;0;1
Claudia Fernandez Sanchez;ESP;13040;5;0;1
Beatriz Gonzalez Fernandez;ESP;13040;5;0;1
Sofia Araujo;POR;7030;7;0;1
Andrea Ustero Prieto;ESP;6625;8;0;1
Marta Ortega Gallego;ESP;6435;9;0;1
Tamara Icardo Alcorisa;ESP;6050;10;0;1
Claudia Jensen;ARG;5405;11;0;1
Alejandra Alonso De Villa;ESP;5385;12;0;1
Alejandra Salazar Bengoechea;ESP;5110;13;0;1
Martina Calvo Santamaria;ESP;4745;14;0;1
Veronica Virseda;ESP;4190;15;0;1
Marina Guinart España;ESP;4035;16;0;1
Carmen Goenaga Garcia;ESP;3715;17;0;1
Beatriz Caldera Sanchez;ESP;3715;17;0;1
Aranzazu Osoro Ulrich;ARG;3640;19;0;1
Victoria Iglesias Segador;ESP;3420;20;0;1
Lucia Sainz Pelegri;ESP;2980;21;0;1
Patricia Llaguno Zielinski;ESP;2965;22;0;1
Jessica Castello Lopez;ESP;2480;23;0;1
Raquel Eugenio Barrera;ESP;2380;24;0;1
Martina Fassio Goyeneche;ARG;2370;25;0;1
Lorena Rufo Ortiz;ESP;2190;26;0;1
Marta Barrera De La Fuente;ESP;2185;27;0;1
Jimena Velasco Postiguillo;ESP;2115;28;0;1
Carolina Orsi;ITA;1960;29;0;1
Marta Caparros Maldonado;ESP;1885;30;0;1
Araceli Martinez;ESP;1845;31;0;1
Noa Canovas Paredes;ESP;1820;32;0;1
Ksenia Sharifova;RUS;1810;33;0;1
Alix Collombon;FRA;1765;34;0;1
Virginia Riera;ARG;1716;35;0;1
Maria Eulalia Rodriguez Abajo;ESP;1690;36;0;1
Nuria Rodriguez;ESP;1655;37;0;2
Lucia Martinez Gomez;ESP;1650;38;0;2
Julieta Evangelina Bidahorria;ARG;1575;39;0;2
Ana Catarina Nogueira;POR;1565;40;0;2
Melania Merino Saez;ESP;1502;41;0;2
Lara Arruabarrena;ESP;1495;42;0;2
Agueda Perez Ortiz;ESP;1474;43;0;2
Marta Borrero;ESP;1472;44;0;2
Marta Talavan;ESP;1470;45;0;2
Sara Ruiz Soto;ESP;1315;46;0;2
Marina Lobo;ESP;1315;46;0;2
Letizia Maria Manquillo Alarza;ESP;1257;48;0;2
Laura Lujan Rodriguez;ESP;1250;49;0;2
Noemi Aguilar Carrillo;ESP;1244;50;0;2
Giorgia Marchetti;ITA;1234;51;0;2
Sofia Saiz Vallejo;ESP;1214;52;0;2
Julia Polo Bautista;ESP;1174;53;0;2
Barbara Las Heras;ESP;1148;54;0;2
Patricia Martinez Fortun;ESP;1126;55;0;2
Carolina Navarro Björk;SWE;1066;56;0;2
Teresa Navarro lopez-Barajas;ESP;1064;57;0;2
Jana Montes Cabruja;ESP;1046;58;0;2
Lucia Garcia Trella;ESP;1013;59;0;2
Carla Mesa Salazar;ESP;971;60;0;2
Lea Godallier;FRA;940;61;0;2
Esther Carnicero Martin;ESP;929;62;0;2
Marta Marrero;ESP;926;63;0;2
Amanda Lopez Moral;ESP;918;64;0;2
Sandra Bellver Fructuoso;ESP;899;65;0;2
Marta Arellano Navarro;ESP;876;66;0;2
Giulia Dal Pozzo;ITA;857;67;0;2
Ariadna Cañellas Rodero;ESP;763;68;0;2
Camila Fassio Goyeneche;ESP;763;68;0;2
Monica Gomez Rivas;ESP;747;70;0;2
Ana Dominguez Gracia;ESP;738;71;1;2
Natividad Lopez Diaz;ESP;730;72;-2;2
Rebeca Lopez Lopez;ESP;727;73;0;3
Alba Perez Momha;ESP;726;74;1;3
Aida Martinez Sanjuan;ESP;710;75;-2;3
Anna Ortiz Gasco;ESP;660;76;0;3
Lorena Vano;ITA;654;77;0;3
Carlotta Casali;ITA;610;78;0;3
Carla Touly;FRA;602;79;1;3
Marcella Koek;NED;581;80;-1;3
Victoria Kurz;GER;572;81;0;3
Lucia Peralta Exposito;ESP;559;82;0;3
Daiara Agustina Valenzuela;ARG;542;83;1;3
Lucia Micaela Fernandez Lopez;ESP;541;84;1;3
Ana Varo Ramos;ESP;539;85;1;3
Claudia Escacena Montero;ESP;531;86;-3;3
Camila Ramme Coellar;MEX;522;87;1;3
Aitana Garcia Roman;ESP;505;88;1;3
Maria Portillo Perez;ESP;494;89;1;3
Aimee Gibson;GBR;475;90;-3;3
Carla Fito Fernandez;ESP;462;91;1;3
Janine Hemmes;NED;446;92;1;3
Catarina Santos Domingos;POR;442;93;1;3
Rosalie Van Der Hoek;NED;440;94;1;3
Maria Teresa Moriñigo Gomez;ESP;435;95;1;3
Bo Luttikhuis;NED;433;96;-5;3
Raquel Piltcher;BRA;426;97;0;3
Brittany Dubins;USA;406;98;0;3
Xenia Clasca Vidiella;ESP;390;99;0;3
Lucia Perez Parra;ESP;389;100;0;3
Patricia Araus Lopez;ESP;389;100;0;3
Ana Cristina Sanchez Perez;ESP;386;102;0;3
Martina Parmigiani;ITA;383;103;0;3
Caterina Maria Baldi;ITA;373;104;0;3
Emily Stellato;ITA;351;105;1;3
Ainize Santamaria Landa;ESP;349;106;1;3
Giorgia Rosi;ITA;348;107;1;3
Blanca Arriola Cerrejon;ESP;342;108;1;3
Clarissa Margherita Aima;ITA;339;109;1;4
Clarinha Santos;POR;339;109;1;4
Sara Pujals Perez;ESP;338;111;1;4
Eugenia Guimet Bigas;ESP;336;112;5;4
Stephanie Weterings;NED;331;113;0;4
Manuela Schuck Silva;BRA;329;114;0;4
Margarida Fernandes;POR;329;114;0;4
Dora Andrejszki;HUN;328;116;0;4
Patricia Maria Ribeiro;POR;321;117;1;4
Louise Bahurel;FRA;320;118;1;4
Carla Fernandez Gonzalez;ESP;315;119;3;4
Catherine Rose;GBR;315;119;-14;4
Giulia Sussarello;ITA;301;121;-1;4
Maria Laura Ferreyra;ARG;298;122;-1;4
Natalia Molinilla Paniagua;ESP;292;123;0;4
Nerea Guerra Santana;ESP;291;124;2;4
Camilla Livioni;ITA;291;124;0;4
Paula Ferrán;ESP;278;126;-1;4
Valeria Atencia Basilio;ESP;271;127;0;4
Marianela Montesi;ITA;270;128;0;4
Arantxa Soriano Perez;ESP;263;129;0;4
Tia Louisa Norton;GBR;262;130;0;4
Chiara Pappacena;ITA;260;131;0;4
Alba Gallardo Salvado;ESP;254;132;0;4
Dora Chamli;TUN;254;132;0;4
Bruna Albuquerque Melo;POR;253;134;0;4
Maaike Betz;NED;252;135;0;4
Angelina Neizvestnaya;RUS;242;136;0;4
Ana Maria Cabrejas Ruiz;MEX;240;137;0;4
Carla Serrano Gonzalez;ESP;239;138;0;4
Elsa Terranova;ITA;236;139;0;4
Karin Hechenberger;SUI;235;140;0;4
Lisa Rachel Phillips;GBR;223;141;2;4
Sara Foguer Lapuente;ESP;222;142;2;4
Camille Sireix;FRA;221;143;-2;4
Elena De La Rosa Ramos;ESP;216;144;-3;4
Melissa Martin;FRA;216;144;1;5
Anastasiia Ryzhova;RUS;212;146;0;5
Constança Gorito;POR;211;147;0;5
Ainara Pozuelo Dominguez;ESP;210;148;0;5
Francesca Ligotti;ITA;209;149;0;5
Carmen Castillon Gamez;ESP;207;150;0;5
Maria Delgado Medina;ESP;206;151;0;5
Ivet Val Lopez;ESP;205;152;0;5
Alicia Blanco Rojo;ESP;203;153;0;5
Alexandra Silva;POR;201;154;0;5
Nika Sluzhiteleva;RUS;200;155;0;5
Lorena Alonso De Lera;ESP;198;156;0;5
Renata Martinez Becerra;MEX;198;156;0;5
Luna Di Battista;ITA;195;158;0;5
Kae Tokumoto;JPN;194;159;0;5
Steffi Merah;FRA;193;160;0;5
Alena Vasileva;RUS;189;161;0;5
Nuria Vivancos;ESP;179;162;1;5
Cayetana Sanchez Vera;ESP;179;162;1;5
Marisol Fernandez Garcia;ESP;178;164;2;5
Liza Groenveld;NED;176;165;2;5
Jessica Marie Agra;PHI;174;166;-4;5
Alba Vazquez Gracia;ESP;174;166;-3;5
Tess De Vocht;NED;172;168;1;5
Puck Bernard;NED;168;169;1;5
Daniela Catarino;POR;165;170;1;5
Marie Amelie Dardaine;FRA;163;171;-3;5
Yoshino Kushima;JPN;159;172;1;5
Martina Vera Cebollero;ESP;156;173;1;5
Kotomi Ozawa;JPN;154;174;-3;5
Jimena Diaz De La Iglesia;ESP;153;175;24;5
Saki Tsukamoto;JPN;149;176;-1;5
Natalia Blanco;MEX;147;177;-1;5
Ainhoa Navarro Fernandez;ESP;147;177;-1;5
Claudia Ordoñez Romero;ESP;147;177;-1;5
Mafalda Marques Fernandes;POR;147;177;-1;5
Clara Miret Llorach;ESP;146;181;0;6
Carmen Azcoitia Mazo;ESP;144;182;0;6
Leire Uriarte Medina;ESP;143;183;0;6
Jessica Ginier Barbier;FRA;143;183;0;6
Charlotte Soubrie;FRA;142;185;-9;6
Laura Buteau;FRA;142;185;1;6
Coral Alvarez Castro;ESP;141;187;-4;6
Cristina Cirne;BRA;138;188;0;6
Catalina Arancibia;CHI;138;188;0;6
Claudia Gaspar;POR;138;188;0;6
Lucile Pothier;FRA;138;188;0;6
Kimberley Ahumada Carrasco;CHI;138;188;0;6
Carla Castillo Velarde;ESP;137;193;0;6
Maria Garin;POR;137;193;0;6
Alicia Cañellas;ESP;134;195;0;6
Matilde Minelli;ITA;133;196;0;6
Emma Karen Reyes Baca;MEX;132;197;1;6
Aurora Buscaino;ITA;131;198;1;6
Letizia Dell'Agnese;ITA;131;198;-2;6
Sandra Oliveras Gonzalez;ESP;130;200;1;6
Candela Lucendo Millan;ESP;129;201;-14;6
Teresa Casero De La Casa;ESP;123;202;0;6
Lucia Vicente Mera;ESP;122;203;0;6
Lucia Dionisio Laureano;ESP;119;204;0;6
Maria Rasmussen;DEN;119;204;12;6
Vega Cano Ortin;ESP;119;204;0;6
Laura Virginia Afonso Maas;BRA;118;207;0;6
Luisa Roque De Pinho;POR;118;207;0;6
Justine Pysson;BEL;118;207;0;6
Maria Arteaga Vilches;ESP;117;210;0;6
Camilla Ronchini;ITA;117;210;-6;6
Helena Rousselet Novillo;BRA;116;212;-1;6
Cristina Carrascosa Cazorla;ESP;115;213;25;6
Martina Minetti;FIN;115;213;-1;6
Dilara Torssell;TUR;114;215;-2;6
Jessica Lucinda Palma La Cruz;VEN;113;216;-2;6
Alessandra Abbud De Barros;BRA;112;217;-2;7
Chifumi Sato;JPN;108;218;-1;7
Valentina Tommasi;ITA;107;219;-1;7
Moura Hakim;EGY;107;219;-1;7
Florencia Lucila Berraz Vivas;ARG;106;221;-1;7
Nerea Derbis;ESP;106;221;-1;7
Michela Zaccagnini;ITA;105;223;-1;7
Chiara Giaquinta;ITA;105;223;-1;7
Abigail Tordoff;GBR;103;225;-1;7
Gema Flores Saucedo;ESP;102;226;-1;7
Leyre Montañez Marco;ESP;101;227;-1;7
Patricia Roman Aldea;ESP;101;227;-1;7
Nuria Molina Sanchez;ESP;101;227;-1;7
Laila El Nimr;EGY;101;227;-1;7
Jordana Ailen Lujan Ferreyra;ARG;100;231;-1;7
Narine Sargsyan;ARM;99;232;-1;7
Rodayna Fathy Elsayed;EGY;99;232;-1;7
Gabriela Roux Vidal;CHI;99;232;-1;7
Gianina Minieri;CHI;99;232;-1;7
Elena Martinez Brito;ESP;98;236;-1;7
Rita Vilaça;POR;98;236;-1;7
Carlota Sanchez Gonzalez;ESP;92;238;1;7
Novela Putria;INA;92;238;1;7
Simone Alipieva;DEN;92;238;17;7
Manon Marcarie;FRA;92;238;-1;7
Elisabeth Nogueras Lorenz;ESP;91;242;-1;7
Kimy Barla;FRA;89;243;-2;7
Micaela Para;POR;88;244;-1;7
Amelie Detriviere;FRA;88;244;-1;7
Jessica Para;POR;88;244;-1;7
Giulia Perusso Bettim;BRA;87;247;-1;7
Maria Francisca Santos;POR;86;248;-1;7
Sara Pereira Alvarez;POR;86;248;-1;7
Irene Jimenez;ARG;85;250;1;7
Carolina Petrelli;ITA;85;250;1;7
Daniela Banchero;ARG;85;250;1;7
Maria Martinez Perez;ESP;84;253;2;8
Lou Lambert Agosti;FRA;84;253;-6;8
Carla Medio Boto;ESP;83;255;-4;8
Raquel Almendros Garcia;ESP;83;255;2;8
Dafne Paola Peralta Sanchez;MEX;81;257;1;8
Erika Mesa Martinez;ESP;81;257;-10;8
Daniela Portilla Gomez;ESP;81;257;1;8
Ivana Perches Arredondo;MEX;81;257;1;8
Anna Cortiles;ESP;80;261;0;8
Isadora Siga Nunes;BRA;80;261;0;8
Candela Valverde;ESP;79;263;0;8
Fernanda Abarzua Branchi;BRA;78;264;0;8
Helena Wyckaert;BEL;78;264;0;8
Carina Costa;POR;78;264;0;8
Covadonga Verdejo Saiz;ESP;78;264;0;8
Sofia Pastor Sebastian;ESP;78;264;0;8
Zhai Yu;CHN;77;269;0;8
Fiona Ligi;FRA;76;270;0;8
Maria Castro Quevedo Pereira;POR;75;271;0;8
Maria Jose Montoya;MEX;75;271;0;8
Carmen Villar Gonzalez;ESP;74;273;0;8
Maria Cristina Lopez Fuertes;ESP;74;273;0;8
Ana Elliot garcia-Montaner;ESP;74;273;0;8
Marta Eugenio Barrera;ESP;74;273;0;8
Maria Del Carmen Gallego Castaño;ESP;73;277;0;8
Gabriela Menna Barreto;BRA;72;278;1;8
Hiu Wai Lau;HKG;71;279;1;8
Cristina Gonzalez Cidoncha;ESP;71;279;-2;8
Margarida Guerreiro;POR;71;279;1;8
Maite Cano Pou;ESP;70;282;0;8
Allison Peralta Sanchez;MEX;70;282;0;8
Maria Guimarães Perry Ferreira;POR;70;282;0;8
Susana Martin Marin;ESP;70;282;0;8
Ares Llobera Irun;ESP;70;282;0;8
Angela Lorenzo Martin;ESP;69;287;0;8
Adriana Corona;MEX;69;287;0;8
Giuditta Beltrami;ITA;68;289;0;9
Bojana Jovanovic;SRB;68;289;0;9
Beatriz Ferreira;POR;68;289;0;9
Ainhoa Corrales Fernández;ESP;68;289;0;9
Marianne Vandaele;FRA;66;293;-4;9
Julia Gomes Giusti;BRA;66;293;1;9
Noemi Sermant;BEL;66;293;1;9
Tetyana Dychka;UKR;65;296;0;9
Fatma Al Nabhani;OMA;65;296;0;9
Olena Kyrpot;UKR;65;296;0;9
Mayar Tawfik;EGY;64;299;0;9
Nerea Gomez Blasquez;ESP;63;300;0;9
Elyne Boeykens;BEL;63;300;0;9
Joana Soares;POR;63;300;0;9
Nadia Aida Acuña Lopez;SUI;61;303;-3;9
Alenna Dawn Magpantay;PHI;60;304;0;9
Anna Schmid;AUT;59;305;0;9
Marta Morga Alonso;USA;59;305;0;9
Martina Rivera Serra;ESP;58;307;0;9
Alice Radu;ROU;58;307;0;9
Sayaka Yoshimoto;JPN;58;307;24;9
Nora Leinus;EST;57;310;0;9
Vilena Petrova;RUS;57;310;0;9
Maria Mayoral Estrada;ESP;56;312;-5;9
Babette De Decker;BEL;56;312;0;9
Ekaterina Nikitina;RUS;56;312;0;9
Gitte Haxen;DEN;56;312;0;9
Mar Munera Vila;ESP;55;316;-1;9
Simone Simas;POR;55;316;-1;9
Raquel Segura Aguilar;ESP;55;316;-1;9
Daria Kucheriavaia;RUS;54;319;-1;9
Farida El Halaby;EGY;54;319;-1;9
Alejandra Elizabeth Aguirre Corrales;MEX;53;321;0;9
Sandra Martinez Diaz;ESP;53;321;0;9
Francisca Bragança;POR;53;321;0;9
Julia Isabella Wiese;DEN;53;321;0;9
Martina Mantova;ITA;52;325;0;10
Cristina Rodriguez Enrich;ESP;51;326;0;10
Alanoud Yamani;KSA;51;326;0;10
Nura Padilla Tomasa;ESP;51;326;0;10
Paula Del Rio Del Barrio;ESP;51;326;0;10
Quetzali Dafne Vazquez Montesinos;MEX;51;326;0;10
Alina Yeroshenko;UKR;50;331;0;10
Laura Daniela Arciniegas;COL;50;331;0;10
Baharak Soleymani;SWE;50;331;0;10
Paola Ciabattoni;ITA;50;331;0;10
Hiu Laam Chan;HKG;49;335;1;10
Cassandra Senjean;FRA;49;335;-17;10
Maria Fontes Vaz Ferreira;POR;48;337;1;10
Areej Khalil Fareh;KSA;48;337;1;10
Alexandra Alegre Ferré;ESP;47;339;-3;10
Rune Vierendeels;BEL;46;340;2;10
Sofia Carmo Machado;POR;46;340;2;10
Gaëlle Rey;SUI;46;340;-2;10
Jemilett Cortes Figueroa;MEX;45;343;1;10
Merel Van Houten;NED;45;343;1;10
Maria Vasileidi;GRE;44;345;1;10
Francesca Campigotto;ITA;44;345;1;10
Laura Rijkers;NED;43;347;1;10
Sara Errani;ITA;43;347;-9;10
Fernanda Salazar Morales;MEX;42;349;0;10
Erika Zanchetta;ITA;41;350;0;10
Claudia Esteban Esposito;ESP;41;350;0;10
Karen Micaela Gomez Gonazlez;ESP;41;350;0;10
Roberta Liberti;ITA;41;350;0;10
Nelida Brito;ARG;41;350;0;10
Yixuan Wang;CHN;41;350;0;10
Yusra Mohamed Hegy;EGY;41;350;0;10
Hanna Maddock Gamez;GBR;40;357;0;10
Andrea Lima Ramirez;ESP;40;357;0;10
Maria De La Paz Hermida Vazquez;ESP;40;357;0;10
Lydia Silvan Ramiro;ESP;40;357;0;10
Elena Schiattelli;ITA;39;361;0;11
Flavia Coppola;ITA;39;361;0;11
Ruth Petit Segarra;ESP;39;361;0;11
Lea Jurkovi?;CRO;39;361;0;11
Wing Chun Law;HKG;39;361;0;11
Elisa Guiraud;FRA;39;361;0;11
Christina-Styliani Ntanou;GRE;39;361;0;11
Anna-Blue Houareau;FRA;39;361;0;11
Fiorella Agostina Propato San Martin;ARG;38;369;0;11
Dalal Al Qenaei;KUW;38;369;0;11
Kateryna Yegoreychenko;UKR;38;369;0;11
Valeria Montaño;MEX;38;369;0;11
Sara Garrido Rodríguez;ESP;38;369;0;11
Francesca Candelieri;ITA;37;374;0;11
Yik Yan Law;HKG;36;375;0;11
Laura Jackson;GBR;36;375;0;11
Iris Donate Murcia;ESP;36;375;0;11
Francielle Gaspar;BRA;36;375;0;11
Minghui Wu;CHN;36;375;0;11
Luisa Fernanda De La Peña Rosas;MEX;36;375;0;11
Maria Florencia Ernandorena;ARG;36;375;0;11
Cristina Musial Navarro;ESP;36;375;0;11
Sofía María González Lara;MEX;36;375;0;11
Giulia Cascapera;ITA;35;384;0;11
Tatyana Kutulaeva;UZB;35;384;0;11
Maria Constanza Vega;ARG;35;384;0;11
Greta Mokrousova;RUS;35;384;0;11
Carolina Martinho Santos;POR;35;384;0;11
Zenab Sarkhoo;KUW;35;384;0;11
Paula Hoyos Miranda;ESP;35;384;0;11
Luana Trautwein;BRA;34;391;0;11
Maria Mora Sanz;ESP;34;391;0;11
Rieko Maruyama;JPN;33;393;0;11
Clara Mansart;FRA;33;393;0;11
Catarina Cardoso;POR;33;393;0;11
Paula Canivell Varona;ESP;33;393;0;11
Ines Coelho;POR;33;393;0;12
Maria Do Carmo Ribeiro;POR;33;393;0;12
Anna Tulenkova;RUS;33;393;0;12
Gabriela Andrade;POR;33;393;0;12
Maria Leonor Araujo Teixeira;POR;33;393;0;12
Patricia Martin Ortiz;ESP;32;402;0;12
Raluca Sandu;MON;32;402;0;12
Edanur Sahin;TUR;32;402;0;12
Sandra Gamez;ESP;32;402;0;12
Beatrice Gumulya;INA;32;402;0;12
Noha Amr;EGY;32;402;0;12
Clara Sofia Martins Santos Faria Leite;POR;32;402;0;12
Claudia Di Nicola;ITA;32;402;0;12
Angela Maria Dangond Villamizar;AUS;32;402;79;12
Adolfina Caballero Vico;ESP;31;411;0;12
Anahi Salas Almaraz;MEX;31;411;0;12
Christina Smith;GBR;31;411;0;12
Dalila Elshaer;EGY;31;411;0;12
Yiyun Chai;CHN;31;411;0;12
Debra Fernanda Gonzalez Preciado;MEX;31;411;0;12
Ana Julia Acunha De Oliveira;BRA;31;411;0;12
Diana Toledo Jovani;ESP;31;411;0;12
Alexandra Pils;AUT;31;411;0;12
Tatiana Correa;BRA;30;420;0;12
Maria Azul Llorens Gioda;ARG;30;420;0;12
Ariadna Suárez López;ESP;30;420;0;12
Francesca Ana Floriani;ARG;30;420;0;12
Melissa Rodriguez Mayen;MEX;30;420;0;12
Catarina Castro Vilela;POR;30;420;0;12
Céline François;LUX;30;420;0;12
Hayano Natsuki;JPN;30;420;0;12
Silvia Trassinelli;ITA;30;420;0;12
Gimena Sol Perez;ARG;29;429;0;12
Noemi Bevilacqua;ITA;29;429;0;12
Tessa Nikkelen;NED;29;429;0;12
Ana Fernandez De Osso Fuentes;ESP;29;429;0;12
Araceli Muñoz Sanchez;ESP;29;429;0;13
Daria Ovsiannikova;RUS;29;429;0;13
Ieva Ceilutkaite;LTU;29;429;0;13
Feity Lesmana;INA;29;429;0;13
Nina Duernberger;AUT;29;429;0;13
Silvia Lopez Vidal;ESP;29;429;0;13
Candelaria Sedano Acosta;ESP;29;429;0;13
Aisha Alawadhi;UAE;29;429;0;13
Eloise Tait;GBR;29;429;0;13
Beatriz Gueiral;POR;28;442;0;13
Jennifer Deguigne;FRA;28;442;0;13
Gabriele Strolyt?;LTU;28;442;0;13
Elodie Naegellen;FRA;28;442;0;13
Fiorella Cuccioli;ARG;28;442;0;13
Lorena Marruffo;VEN;28;442;0;13
Maria Magraner;ESP;28;442;0;13
Regina Estrada Dieguez;MEX;28;442;0;13
Martina Correa Rodrigues;BRA;28;442;0;13
Marina Cuadron Florez;ESP;28;442;0;13
Carla Sánchez Nombela;ESP;27;452;0;13
Johanna Hommy Falcon Manrique;ESP;27;452;0;13
